GeoType,GEOID,subregion,,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
County,29215,texas,Texas,"Texas County, Missouri",20069,60.068,24.679,45.363,38.109,44.816,30.586,51.171,10.243,51.254,48.628,62.387,27.95,61.139,29.61,56.89,30.876,55.326,35.706,37.202,53.315,47.847,52.153,33.736,65.719,70.13,28.664,61.372,35.87,50.923,49.035,54.184,44.825,55.201,42.592,69.934,27.707,36.871,61.406,59.182,39.196,68.339,31.292,61.495,15.615,40.097,37.612,48.174,31.66,43.296,22.411,47.474,21.231,56.295,16.376,28.088,71.791,29.314,70.473,40.439,34.529
County,40139,texas,Texas,"Texas County, Oklahoma",14828,65.173,20.015,52.102,32.53,46.667,26.465,53.312,9.136,59.361,40.486,65.655,24.237,64.375,25.493,63.151,24.745,61.618,29.278,45.217,46.286,54.055,45.945,40.818,58.676,68.248,30.299,63.337,35.025,57.101,43.225,55.532,43.316,56.156,41.954,70.197,27.081,36.362,62.585,57.07,41.5,71.105,29.281,62.709,13.614,44.312,36.838,53.968,29.542,49.956,19.963,53.131,20.315,59.74,15.16,31.073,68.8,30.405,69.299,50.086,28.882
County,48001,anderson,Anderson,"Anderson County, Texas",46565,64.095,20.034,46.319,38.285,44.006,28.835,52.005,9.833,54.07,46.001,60.648,27.653,60.532,27.814,57.681,28.541,55.498,33.414,40.558,48.091,50.881,49.119,37.639,62.002,67.969,31.126,62.742,35.617,53.409,46.418,55.824,43.097,55.162,43.871,68.663,30.291,35.523,63.56,61.085,38.079,69.019,31.065,60.008,16.27,41.663,37.421,49.494,30.527,49.95,22.343,51.86,20.912,55.863,17.853,25.081,74.875,26.552,72.768,47.14,32.233
County,48003,andrews,Andrews,"Andrews County, Texas",12348,65.069,19.679,51.737,33.013,46.342,26.172,52.712,9.235,59.633,40.31,65.272,23.495,64.859,24.367,62.229,25.018,60.588,29.305,45.492,44.528,54.187,45.813,39.464,60.097,66.565,32.084,62.895,35.037,54.154,45.943,56.205,42.76,54.882,43.519,68.208,30.401,32.66,66.113,57.233,41.583,70.832,29.399,61.937,15.812,44.764,37.218,52.693,29.825,51.894,21.319,53.1,20.418,58.958,16.746,28.599,71.301,28.511,71.082,51.726,29.588
County,48005,angelina,Angelina,"Angelina County, Texas",64873,66.582,17.881,49.936,34.881,47.513,27.073,55.063,8.993,58.294,41.761,66.119,22.711,64.378,24.967,60.997,26.361,58.895,31.091,42.168,47.591,54.184,45.816,40.186,59.569,70.002,29.306,65.931,32.43,56.334,43.659,57.886,41.043,57.754,41.609,71.922,27.141,32.885,66.462,57.781,41.702,72.094,28.166,63.541,15.367,45.072,34.956,53.458,29.499,52.179,21.266,53.988,19.773,59.798,16.325,28.32,71.68,28.816,70.528,49.681,28.341
County,48007,aransas,Aransas,"Aransas County, Texas",19873,64.995,20.917,50.178,34.454,48.457,26.944,54.453,9.325,57.966,42.13,64.473,26.142,64.098,26.79,61.165,27.362,59.124,32.373,42.479,49.202,53.556,46.444,40.085,59.653,70.105,29.204,64.081,34.532,56.1,44.122,56.263,42.902,56.784,42.701,70.579,28.627,32.234,66.932,58.312,41.157,71.035,29.359,62.79,15.397,44.083,37.444,51.991,31.413,50.005,21.932,51.918,20.65,59.387,16.175,30.171,69.809,32.232,67.361,48.631,33.385
County,48009,archer,Archer,"Archer County, Texas",6831,57.226,28.68,41.297,42.034,38.711,35.967,46.748,11.814,47.276,52.844,56.537,34.884,56.598,35.13,52.849,35.691,50.853,40.893,34.618,56.906,45.165,54.835,32.972,66.906,66.989,33.403,58.986,40.313,46.011,54.384,48.039,51.499,52.183,48.008,67.61,32.247,39.787,59.741,67.496,32.286,62.571,38.038,57.492,18.236,35.993,45.603,43.93,39.028,42.176,28.265,45.237,24.658,53.151,20.242,25.083,74.93,29.752,69.847,37.585,43.618
County,48011,armstrong,Armstrong,"Armstrong County, Texas",1517,58.399,26.16,44.003,37.451,44.828,29.506,47.452,10.348,51.213,49.031,60.835,31.123,60.369,32.809,57.535,32.327,55.695,37.52,38.209,55.063,48.664,51.336,38.595,61.46,66.199,34.281,59.675,40.068,46.489,54.222,46.642,53.3,50.472,49.36,66.858,33.38,34.873,64.63,63.812,35.933,64.169,37.131,61.07,15.584,39.842,41.424,46.509,36.948,42.836,25.392,45.336,22.749,56.996,17.213,30.757,69.262,36.433,64.08,40.936,41.847
County,48013,atascosa,Atascosa,"Atascosa County, Texas",35909,65.839,18.823,52.923,32.023,45.76,25.455,54.879,7.974,62.933,37.129,66.598,23.4,66.105,23.796,64.703,23.163,62.632,27.797,47.789,42.756,56.024,43.976,43.085,56.64,69.273,29.785,65.179,32.728,55.741,43.79,58.463,40.455,59.241,39.291,71.114,27.714,33.386,65.845,58.519,40.012,73.197,27.218,65.6,14.463,47.989,33.278,55.291,27.787,53.337,20.164,56.208,19.07,61.713,15.49,30.24,69.674,27.812,71.58,52.345,29.208
County,48015,austin,Austin,"Austin County, Texas",22633,64.159,20.166,47.747,37.463,44.869,29.174,53.329,9.883,55.537,44.514,62.695,26.257,61.838,27.489,58.479,28.836,56.375,33.774,39.914,50.297,51.383,48.617,37.677,62.087,70.174,29.282,63.825,34.731,53.556,46.405,55.548,43.401,57.571,41.551,70.774,28.473,35.044,64.48,60.358,39.167,70.026,30.419,61.957,15.909,42.394,38.653,49.77,32.167,48.311,23.525,50.8,21.51,57.918,17.394,27.252,72.771,29.124,70.298,47.253,32.547
